"Market","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"NASDAQ","BUR","Burcon NutraScience Corp","2.32","$83.13M","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/bur",
"NASDAQ","CFFI","C&F Financial Corporation","42.33","$146.35M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cffi",
"NASDAQ","CHRW","C.H. Robinson Worldwide, Inc.","69.43","$9.91B","1997","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/chrw",
"NASDAQ","CA","CA Inc.","32.41","$13.58B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ca",
"NASDAQ","CCMP","Cabot Microelectronics Corporation","52.61","$1.27B","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/ccmp",
"NASDAQ","CDNS","Cadence Design Systems, Inc.","25.5","$7.45B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cdns",
"NASDAQ","CDZI","Cadiz, Inc.","7.3","$136.4M","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/cdzi",
"NASDAQ","CACQ","Caesars Acquisition Company","12.25","$1.68B","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/cacq",
"NASDAQ","CZR","Caesars Entertainment Corporation","7.25","$1.07B","2012","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/czr",
"NASDAQ","CSTE","Caesarstone Ltd.","36.65","$1.29B","2012","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cste",
"NASDAQ","PRSS","CafePress Inc.","3.02","$50.4M","2012","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/prss",
"NASDAQ","CLBS","Caladrius Biosciences, Inc.","4.12","$24.37M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/clbs",
"NASDAQ","CLMS","Calamos Asset Management, Inc.","6.29","$129.14M","2004","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/clms",
"NASDAQ","CHY","Calamos Convertible and High Income Fund","10.76","$780.5M","2003","n/a","n/a","http://www.nasdaq.com/symbol/chy",
"NASDAQ","CHI","Calamos Convertible Opportunities and Income Fund","10.08","$705.57M","2002","n/a","n/a","http://www.nasdaq.com/symbol/chi",
"NASDAQ","CCD","Calamos Dynamic Convertible & Income Fund","18.05","$440.14M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ccd",
"NASDAQ","CHW","Calamos Global Dynamic Income Fund","7.28","$429.57M","2007","n/a","n/a","http://www.nasdaq.com/symbol/chw",
"NASDAQ","CGO","Calamos Global Total Return Fund","11.0206","$93.29M","2005","n/a","n/a","http://www.nasdaq.com/symbol/cgo",
"NASDAQ","CSQ","Calamos Strategic Total Return Fund","10.13","$1.57B","2004","n/a","n/a","http://www.nasdaq.com/symbol/csq",
"NASDAQ","CAMP","CalAmp Corp.","13.35","$485.04M","1983","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/camp",
"NASDAQ","CVGW","Calavo Growers, Inc.","61.3","$1.07B","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/cvgw",
"NASDAQ","CFNB","California First National Bancorp","14.05","$144.43M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cfnb",
"NASDAQ","CALA","Calithera Biosciences, Inc.","2.4","$46.77M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cala",
"NASDAQ","CALD","Callidus Software, Inc.","19.05","$1.09B","2003","Technology","EDP Services","http://www.nasdaq.com/symbol/cald",
"NASDAQ","CALM","Cal-Maine Foods, Inc.","37.97","$1.84B","1996","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/calm",
"NASDAQ","CLMT","Calumet Specialty Products Partners, L.P.","3.7","$282.57M","2006","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/clmt",
"NASDAQ","ABCD","Cambium Learning Group, Inc.","5.11","$234.15M","n/a","Consumer Services","Publishing","http://www.nasdaq.com/symbol/abcd",
"NASDAQ","CAC","Camden National Corporation","32.5","$501.21M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cac",
"NASDAQ","CAMT","Camtek Ltd.","2.96","$104.63M","2000","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/camt",
"NASDAQ","CSIQ","Canadian Solar Inc.","15.22","$851.79M","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/csiq",
"NASDAQ","CGIX","Cancer Genetics, Inc.","1.52","$24.5M","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/cgix",
"NASDAQ","CPHC","Canterbury Park Holding Corporation","10.5","$45.07M","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/cphc",
"NASDAQ","CPLA","Capella Education Company","67.78","$783.79M","2006","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/cpla",
"NASDAQ","CBF","Capital Bank Financial Corp.","32.5","$1.4B","2012","Finance","Major Banks","http://www.nasdaq.com/symbol/cbf",
"NASDAQ","CCBG","Capital City Bank Group","15.45","$259.62M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ccbg",
"NASDAQ","CPLP","Capital Product Partners L.P.","3.2","$385.31M","2007","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/cplp",
"NASDAQ","CSWC","Capital Southwest Corporation","14.42","$226.66M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cswc",
"NASDAQ","CPTA","Capitala Finance Corp.","13.22","$209.27M","2013","n/a","n/a","http://www.nasdaq.com/symbol/cpta",
"NASDAQ","CLAC","Capitol Acquisition Corp. III","9.9","$402.19M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/clac",
"NASDAQ","CLACU","Capitol Acquisition Corp. III","10.13","$253.25M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/clacu",
"NASDAQ","CLACW","Capitol Acquisition Corp. III","0.6966","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/clacw",
"NASDAQ","CFFN","Capitol Federal Financial, Inc.","14.29","$1.96B","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cffn",
"NASDAQ","CAPN","Capnia, Inc.","0.98","$15.45M","2014","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/capn",
"NASDAQ","CAPNW","Capnia, Inc.","0.19","n/a","2014","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/capnw",
"NASDAQ","CAPR","Capricor Therapeutics, Inc.","3.2559","$58.46M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/capr",
"NASDAQ","CSTR","CapStar Financial Holdings, Inc.","17.745","$191.57M","2016","Finance","Major Banks","http://www.nasdaq.com/symbol/cstr",
"NASDAQ","CPST","Capstone Turbine Corporation","1.05","$31.64M","2000","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cpst",
"NASDAQ","CARA","Cara Therapeutics, Inc.","7.51","$204.89M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cara",
"NASDAQ","CARB","Carbonite, Inc.","17.04","$460.78M","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/carb",
"NASDAQ","CBYL","Carbylan Therapeutics, Inc.","0.5","$13.17M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cbyl",
"NASDAQ","CCN","CardConnect Corp.","8.95","$122.91M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/ccn",
"NASDAQ","CCNWW","CardConnect Corp.","1.05","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/ccnww",
"NASDAQ","CFNL","Cardinal Financial Corporation","25.69","$833.88M","1998","Finance","Major Banks","http://www.nasdaq.com/symbol/cfnl",
"NASDAQ","CRME","Cardiome Pharma Corporation","2.86","$91.17M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/crme",
"NASDAQ","CSII","Cardiovascular Systems, Inc.","22.54","$751.61M","1981","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/csii",
"NASDAQ","CATM","Cardtronics plc","48.63","$2.2B","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/catm",
"NASDAQ","CDNA","CareDx, Inc.","3.76","$71.35M","2014","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/cdna",
"NASDAQ","CECO","Career Education Corporation","7.15","$489.48M","1998","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/ceco",
"NASDAQ","CTRE","CareTrust REIT, Inc.","14.19","$821.54M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ctre",
"NASDAQ","CKEC","Carmike Cinemas, Inc.","32.7","$797.51M","n/a","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/ckec",
"NASDAQ","CLBH","Carolina Bank Holdings Inc.","20.15","$101.65M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/clbh",
"NASDAQ","CARO","Carolina Financial Corporation","23.44","$294.06M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/caro",
"NASDAQ","CART","Carolina Trust BancShares, Inc.","6.1019","$28.35M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cart",
"NASDAQ","CRZO","Carrizo Oil & Gas, Inc.","37.06","$2.19B","1997","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/crzo",
"NASDAQ","TAST","Carrols Restaurant Group, Inc.","12.46","$446.51M","2006","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/tast",
"NASDAQ","CRTN","Cartesian, Inc.","0.6999","$6.29M","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/crtn",
"NASDAQ","CARV","Carver Bancorp, Inc.","4.75","$17.56M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/carv",
"NASDAQ","CASM","CAS Medical Systems, Inc.","1.67","$45.66M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/casm",
"NASDAQ","CACB","Cascade Bancorp","6.26","$477.28M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cacb",
"NASDAQ","CASC","Cascadian Therapeutics, Inc.","1.23","$166.43M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/casc",
"NASDAQ","CWST","Casella Waste Systems, Inc.","11.22","$465.5M","1997","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/cwst",
"NASDAQ","CASY","Caseys General Stores, Inc.","116.11","$4.55B","1983","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/casy",
"NASDAQ","CASI","CASI Pharmaceuticals, Inc.","1.38","$68.25M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/casi",
"NASDAQ","CASS","Cass Information Systems, Inc","55.95","$625.09M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cass",
"NASDAQ","CATB","Catabasis Pharmaceuticals, Inc.","4.35","$66.91M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/catb",
