"MARKET","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"AMEX","CEV","Eaton Vance California Municipal Income Trust","13.68","$99.24M","1999","n/a","n/a","http://www.nasdaq.com/symbol/cev",
"AMEX","EVV","Eaton Vance Limited Duration Income Fund","13.61","$1.58B","2003","n/a","n/a","http://www.nasdaq.com/symbol/evv",
"AMEX","MAB","Eaton Vance Massachusetts Municipal Bond Fund","15","$26.53M","2002","n/a","n/a","http://www.nasdaq.com/symbol/mab",
"AMEX","MMV","Eaton Vance Massachusetts Municipal Income Trust","14.94","$40.89M","1999","n/a","n/a","http://www.nasdaq.com/symbol/mmv",
"AMEX","MIW","Eaton Vance Michigan Municipal Bond Fund","14.83","$22.25M","2002","n/a","n/a","http://www.nasdaq.com/symbol/miw",
"AMEX","EMI","Eaton Vance Michigan Municipal Income Trust","13.86","$27.9M","1999","n/a","n/a","http://www.nasdaq.com/symbol/emi",
"AMEX","EIM","Eaton Vance Municipal Bond Fund","13.3","$906.64M","2002","n/a","n/a","http://www.nasdaq.com/symbol/eim",
"AMEX","EIV","Eaton Vance Municipal Bond Fund II","13.37","$133.88M","2002","n/a","n/a","http://www.nasdaq.com/symbol/eiv",
"AMEX","EMJ","Eaton Vance New Jersey Municipal Bond Fund","14.33","$36.96M","2002","n/a","n/a","http://www.nasdaq.com/symbol/emj",
"AMEX","EVJ","Eaton Vance New Jersey Municipal Income Trust","13.51","$62.12M","1999","n/a","n/a","http://www.nasdaq.com/symbol/evj",
"AMEX","ENX","Eaton Vance New York Municipal Bond Fund","13.58","$212.64M","2002","n/a","n/a","http://www.nasdaq.com/symbol/enx",
"AMEX","NYH","Eaton Vance New York Municipal Bond Fund II","13.3","$34M","2002","n/a","n/a","http://www.nasdaq.com/symbol/nyh",
"AMEX","EVY","Eaton Vance New York Municipal Income Trust","14.8","$81.04M","1999","n/a","n/a","http://www.nasdaq.com/symbol/evy",
"AMEX","EIO","Eaton Vance Ohio Municipal Bond Fund","15.0401","$38.16M","2002","n/a","n/a","http://www.nasdaq.com/symbol/eio",
"AMEX","EVO","Eaton Vance Ohio Municipal Income Trust","14.9","$42.57M","1999","n/a","n/a","http://www.nasdaq.com/symbol/evo",
"AMEX","EIP","Eaton Vance Pennsylvania Municipal Bond Fund","13.92","$41.2M","2002","n/a","n/a","http://www.nasdaq.com/symbol/eip",
"AMEX","EVP","Eaton Vance Pennsylvania Municipal Income Trust","13.04","$33.92M","1999","n/a","n/a","http://www.nasdaq.com/symbol/evp",
"AMEX","ELMD","Electromed, Inc.","5","$41.09M","2011","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/elmd",
"AMEX","ETAK","Elephant Talk Communications Corp.","0.17","$27.88M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/etak",
"AMEX","ELLO","Ellomay Capital Ltd.","9.09","$97.07M","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ello",
"AMEX","ECF","Ellsworth Growth and Income Fund Ltd.","8.21","$107.64M","1986","n/a","n/a","http://www.nasdaq.com/symbol/ecf",
"AMEX","EMAN","eMagin Corporation","2.68","$78.76M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/eman",
"AMEX","MSN","Emerson Radio Corporation","1.03","$27.94M","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/msn",
